timestamp,username,hash_mode,active_protections,attack_type,result,latency_ms
2026-01-02 11:50:42,weak_user_0,bcrypt,pepper,password_spraying,success,246.85
2026-01-02 11:50:42,weak_user_1,bcrypt,pepper,password_spraying,failed,243.67
2026-01-02 11:50:43,weak_user_2,bcrypt,pepper,password_spraying,failed,242.81
2026-01-02 11:50:43,weak_user_3,bcrypt,pepper,password_spraying,failed,246.23
2026-01-02 11:50:43,weak_user_4,bcrypt,pepper,password_spraying,failed,239.77
2026-01-02 11:50:44,weak_user_5,bcrypt,pepper,password_spraying,failed,243.82
2026-01-02 11:50:44,weak_user_6,bcrypt,pepper,password_spraying,failed,244.56
2026-01-02 11:50:44,weak_user_7,bcrypt,pepper,password_spraying,failed,243.45
2026-01-02 11:50:45,weak_user_8,bcrypt,pepper,password_spraying,failed,245.63
2026-01-02 11:50:45,weak_user_9,bcrypt,pepper,password_spraying,failed,244.16
2026-01-02 11:50:45,medium_user_0,bcrypt,pepper,password_spraying,failed,247.96
2026-01-02 11:50:46,medium_user_1,bcrypt,pepper,password_spraying,failed,245.75
2026-01-02 11:50:46,medium_user_2,bcrypt,pepper,password_spraying,failed,242.57
2026-01-02 11:50:46,medium_user_3,bcrypt,pepper,password_spraying,failed,243.58
2026-01-02 11:50:47,medium_user_4,bcrypt,pepper,password_spraying,failed,245.36
2026-01-02 11:50:47,medium_user_5,bcrypt,pepper,password_spraying,failed,248.45
2026-01-02 11:50:47,medium_user_6,bcrypt,pepper,password_spraying,failed,256.14
2026-01-02 11:50:48,medium_user_7,bcrypt,pepper,password_spraying,failed,243.14
2026-01-02 11:50:48,medium_user_8,bcrypt,pepper,password_spraying,failed,245.17
2026-01-02 11:50:48,medium_user_9,bcrypt,pepper,password_spraying,failed,244.16
2026-01-02 11:50:49,strong_user_0,bcrypt,pepper,password_spraying,failed,244.56
2026-01-02 11:50:49,strong_user_1,bcrypt,pepper,password_spraying,failed,242.86
2026-01-02 11:50:50,strong_user_2,bcrypt,pepper,password_spraying,failed,244.03
2026-01-02 11:50:50,strong_user_3,bcrypt,pepper,password_spraying,failed,246.98
2026-01-02 11:50:50,strong_user_4,bcrypt,pepper,password_spraying,failed,241.56
2026-01-02 11:50:51,strong_user_5,bcrypt,pepper,password_spraying,failed,240.41
2026-01-02 11:50:51,strong_user_6,bcrypt,pepper,password_spraying,failed,241.84
