timestamp,username,hash_mode,active_protections,attack_type,result,latency_ms
2026-01-02 11:51:29,weak_user_0,bcrypt,totp,password_spraying,success,249.03
2026-01-02 11:51:29,weak_user_1,bcrypt,totp,password_spraying,failed,245.49
2026-01-02 11:51:30,weak_user_2,bcrypt,totp,password_spraying,failed,251.01
2026-01-02 11:51:30,weak_user_3,bcrypt,totp,password_spraying,failed,245.01
2026-01-02 11:51:30,weak_user_4,bcrypt,totp,password_spraying,failed,240.9
2026-01-02 11:51:31,weak_user_5,bcrypt,totp,password_spraying,failed,244.01
2026-01-02 11:51:31,weak_user_6,bcrypt,totp,password_spraying,failed,247.75
2026-01-02 11:51:31,weak_user_7,bcrypt,totp,password_spraying,failed,245.47
2026-01-02 11:51:32,weak_user_8,bcrypt,totp,password_spraying,failed,248.0
2026-01-02 11:51:32,weak_user_9,bcrypt,totp,password_spraying,failed,241.55
2026-01-02 11:51:32,medium_user_0,bcrypt,totp,password_spraying,failed,246.55
2026-01-02 11:51:33,medium_user_1,bcrypt,totp,password_spraying,failed,244.69
2026-01-02 11:51:33,medium_user_2,bcrypt,totp,password_spraying,failed,240.54
2026-01-02 11:51:33,medium_user_3,bcrypt,totp,password_spraying,failed,246.99
2026-01-02 11:51:34,medium_user_4,bcrypt,totp,password_spraying,failed,248.02
2026-01-02 11:51:34,medium_user_5,bcrypt,totp,password_spraying,failed,244.35
2026-01-02 11:51:35,medium_user_6,bcrypt,totp,password_spraying,failed,243.98
2026-01-02 11:51:35,medium_user_7,bcrypt,totp,password_spraying,failed,245.76
2026-01-02 11:51:35,medium_user_8,bcrypt,totp,password_spraying,failed,245.25
2026-01-02 11:51:36,medium_user_9,bcrypt,totp,password_spraying,failed,243.02
2026-01-02 11:51:36,strong_user_0,bcrypt,totp,password_spraying,failed,242.58
2026-01-02 11:51:36,strong_user_1,bcrypt,totp,password_spraying,failed,250.81
2026-01-02 11:51:37,strong_user_2,bcrypt,totp,password_spraying,failed,259.68
2026-01-02 11:51:37,strong_user_3,bcrypt,totp,password_spraying,failed,242.22
2026-01-02 11:51:37,strong_user_4,bcrypt,totp,password_spraying,failed,245.79
2026-01-02 11:51:38,strong_user_5,bcrypt,totp,password_spraying,failed,247.49
2026-01-02 11:51:38,strong_user_6,bcrypt,totp,password_spraying,failed,248.06
2026-01-02 11:51:38,strong_user_7,bcrypt,totp,password_spraying,failed,242.39
2026-01-02 11:51:39,strong_user_8,bcrypt,totp,password_spraying,failed,247.71
2026-01-02 11:51:39,strong_user_9,bcrypt,totp,password_spraying,failed,243.32
2026-01-02 11:51:39,weak_user_0,bcrypt,totp,password_spraying,failed,246.25
2026-01-02 11:51:40,weak_user_1,bcrypt,totp,password_spraying,success,246.05
2026-01-02 11:51:40,weak_user_2,bcrypt,totp,password_spraying,failed,241.76
2026-01-02 11:51:40,weak_user_3,bcrypt,totp,password_spraying,failed,245.04
2026-01-02 11:51:41,weak_user_4,bcrypt,totp,password_spraying,failed,244.04
2026-01-02 11:51:41,weak_user_5,bcrypt,totp,password_spraying,failed,242.13
2026-01-02 11:51:41,weak_user_6,bcrypt,totp,password_spraying,failed,249.38
2026-01-02 11:51:42,weak_user_7,bcrypt,totp,password_spraying,failed,242.01
2026-01-02 11:51:42,weak_user_8,bcrypt,totp,password_spraying,failed,245.16
2026-01-02 11:51:42,weak_user_9,bcrypt,totp,password_spraying,failed,243.29
2026-01-02 11:51:43,medium_user_0,bcrypt,totp,password_spraying,failed,246.98
2026-01-02 11:51:43,medium_user_1,bcrypt,totp,password_spraying,failed,245.76
2026-01-02 11:51:44,medium_user_2,bcrypt,totp,password_spraying,failed,240.04
2026-01-02 11:51:44,medium_user_3,bcrypt,totp,password_spraying,failed,242.52
2026-01-02 11:51:44,medium_user_4,bcrypt,totp,password_spraying,failed,246.94
2026-01-02 11:51:45,medium_user_5,bcrypt,totp,password_spraying,failed,241.4
2026-01-02 11:51:45,medium_user_6,bcrypt,totp,password_spraying,failed,250.37
2026-01-02 11:51:45,medium_user_7,bcrypt,totp,password_spraying,failed,246.23
2026-01-02 11:51:46,medium_user_8,bcrypt,totp,password_spraying,failed,250.78
2026-01-02 11:51:46,medium_user_9,bcrypt,totp,password_spraying,failed,244.08
2026-01-02 11:51:46,strong_user_0,bcrypt,totp,password_spraying,failed,243.0
2026-01-02 11:51:47,strong_user_1,bcrypt,totp,password_spraying,failed,258.56
2026-01-02 11:51:47,strong_user_2,bcrypt,totp,password_spraying,failed,255.13
2026-01-02 11:51:47,strong_user_3,bcrypt,totp,password_spraying,failed,240.7
2026-01-02 11:51:48,strong_user_4,bcrypt,totp,password_spraying,failed,255.18
2026-01-02 11:51:48,strong_user_5,bcrypt,totp,password_spraying,failed,243.28
2026-01-02 11:51:48,strong_user_6,bcrypt,totp,password_spraying,failed,245.75
