timestamp,username,hash_mode,active_protections,attack_type,result,latency_ms
2026-01-02 11:53:05,weak_user_0,bcrypt,lockout,password_spraying,success,242.74
2026-01-02 11:53:05,weak_user_1,bcrypt,lockout,password_spraying,failed,247.8
2026-01-02 11:53:06,weak_user_2,bcrypt,lockout,password_spraying,failed,246.46
2026-01-02 11:53:06,weak_user_3,bcrypt,lockout,password_spraying,failed,239.46
2026-01-02 11:53:06,weak_user_4,bcrypt,lockout,password_spraying,failed,247.99
2026-01-02 11:53:07,weak_user_5,bcrypt,lockout,password_spraying,failed,243.46
2026-01-02 11:53:07,weak_user_6,bcrypt,lockout,password_spraying,failed,244.44
2026-01-02 11:53:07,weak_user_7,bcrypt,lockout,password_spraying,failed,242.0
2026-01-02 11:53:08,weak_user_8,bcrypt,lockout,password_spraying,failed,242.68
2026-01-02 11:53:08,weak_user_9,bcrypt,lockout,password_spraying,failed,244.22
2026-01-02 11:53:08,medium_user_0,bcrypt,lockout,password_spraying,failed,242.41
2026-01-02 11:53:09,medium_user_1,bcrypt,lockout,password_spraying,failed,248.13
2026-01-02 11:53:09,medium_user_2,bcrypt,lockout,password_spraying,failed,247.25
2026-01-02 11:53:09,medium_user_3,bcrypt,lockout,password_spraying,failed,244.96
2026-01-02 11:53:10,medium_user_4,bcrypt,lockout,password_spraying,failed,243.61
2026-01-02 11:53:10,medium_user_5,bcrypt,lockout,password_spraying,failed,248.78
2026-01-02 11:53:11,medium_user_6,bcrypt,lockout,password_spraying,failed,246.08
2026-01-02 11:53:11,medium_user_7,bcrypt,lockout,password_spraying,failed,245.42
2026-01-02 11:53:11,medium_user_8,bcrypt,lockout,password_spraying,failed,245.84
2026-01-02 11:53:12,medium_user_9,bcrypt,lockout,password_spraying,failed,242.6
2026-01-02 11:53:12,strong_user_0,bcrypt,lockout,password_spraying,failed,247.83
2026-01-02 11:53:12,strong_user_1,bcrypt,lockout,password_spraying,failed,245.7
2026-01-02 11:53:13,strong_user_2,bcrypt,lockout,password_spraying,failed,238.32
2026-01-02 11:53:13,strong_user_3,bcrypt,lockout,password_spraying,failed,244.8
